"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"4";"***";"";""
"**";"classe";"1";"**";"";""
"****";"157";"678";"23.16";"****";""
"35";" 49";" 71.43";"69.17";"paciente";"9.052099e-17"
"21";" 27";" 77.78";"47.15";"curitiba";"6.583316e-12"
"20";" 25";" 80.00";"47.13";"federal";"6.626528e-12"
"23";" 33";" 69.70";"42.23";"operação";"8.135036e-11"
"33";" 57";" 57.89";"42.20";"sérgio";"8.222823e-11"
"15";" 17";" 88.24";"41.50";"vara";"1.176857e-10"
"23";" 37";" 62.16";"33.46";"ex_juiz";"7.266331e-09"
"32";" 62";" 51.61";"31.05";"magistrado";"2.508565e-08"
"14";" 19";" 73.68";"28.05";"prisão";"1.184226e-07"
"18";" 29";" 62.07";"25.78";"auto";"3.825963e-07"
"20";" 34";" 58.82";"25.59";"lava_jato";"4.220647e-07"
"37";" 82";" 45.12";"25.29";"morar";"4.924117e-07"
"11";" 14";" 78.57";"24.67";"pr";"6.803795e-07"
"29";" 59";" 49.15";"24.54";"decisão";"7.265885e-07"
"16";" 25";" 64.00";"24.33";"membro";"8.096306e-07"
"21";" 38";" 55.26";"23.32";"ação";"1.370849e-06"
" 8";"  9";" 88.89";"22.15";"proferido";"2.524557e-06"
" 8";"  9";" 88.89";"22.15";"chamado";"2.524557e-06"
"14";" 22";" 63.64";"20.94";"força_tarefa";"4.741894e-06"
"13";" 20";" 65.00";"20.28";"utilizar";"6.698258e-06"
" 6";"  6";"100.00";"20.09";"spoofing";"7.393595e-06"
" 7";"  8";" 87.50";"18.84";"cumprimento";"1.424862e-05"
" 8";" 10";" 80.00";"18.43";"turma";"1.762063e-05"
"18";" 34";" 52.94";"17.85";"condução";"2.395520e-05"
" 5";"  5";"100.00";"16.72";"mês";"4.342182e-05"
"15";" 27";" 55.56";"16.59";"destacar";"4.643518e-05"
" 9";" 13";" 69.23";"15.81";"depoimento";"6.994867e-05"
" 7";"  9";" 77.78";"15.29";"absoluto";"9.205422e-05"
"10";" 16";" 62.50";"14.25";"fase";"1.596474e-04"
"19";" 40";" 47.50";"14.16";"mesmo";"1.681951e-04"
" 9";" 14";" 64.29";"13.59";"sentença";"2.274074e-04"
" 9";" 14";" 64.29";"13.59";"adotar";"2.274074e-04"
" 9";" 14";" 64.29";"13.59";"manter";"2.274074e-04"
" 4";"  4";"100.00";"13.35";"seguir";"2.580560e-04"
" 4";"  4";"100.00";"13.35";"prolação";"2.580560e-04"
" 4";"  4";"100.00";"13.35";"processar";"2.580560e-04"
" 5";"  6";" 83.33";"12.32";"hc";"4.482403e-04"
" 5";"  6";" 83.33";"12.32";"hipótese";"4.482403e-04"
" 5";"  6";" 83.33";"12.32";"acesso";"4.482403e-04"
" 5";"  6";" 83.33";"12.32";"início";"4.482403e-04"
" 9";" 15";" 60.00";"11.70";"reconhecer";"6.243764e-04"
"10";" 18";" 55.56";"10.91";"juntar";"9.574455e-04"
" 7";" 11";" 63.64";"10.30";"órgão";"1.332650e-03"
"12";" 24";" 50.00";"10.08";"estratégia";"1.502501e-03"
" 3";"  3";"100.00";"10.00";"superior";"1.565691e-03"
" 3";"  3";"100.00";"10.00";"lewandowski";"1.565691e-03"
" 3";"  3";"100.00";"10.00";"celebrar";"1.565691e-03"
" 3";"  3";"100.00";"10.00";"extremo";"1.565691e-03"
" 3";"  3";"100.00";"10.00";"subseção";"1.565691e-03"
" 3";"  3";"100.00";"10.00";"notório";"1.565691e-03"
" 3";"  3";"100.00";"10.00";"evidência";"1.565691e-03"
" 3";"  3";"100.00";"10.00";"espúrio";"1.565691e-03"
" 3";"  3";"100.00";"10.00";"espontâneo";"1.565691e-03"
" 3";"  3";"100.00";"10.00";"cooperação";"1.565691e-03"
" 3";"  3";"100.00";"10.00";"colhido";"1.565691e-03"
"14";" 30";" 46.67";" 9.75";"acordo";"1.792995e-03"
" 6";"  9";" 66.67";" 9.70";"âmbito";"1.838630e-03"
" 6";"  9";" 66.67";" 9.70";"obtido";"1.838630e-03"
" 6";"  9";" 66.67";" 9.70";"ano";"1.838630e-03"
" 5";"  7";" 71.43";" 9.26";"examinar";"2.339106e-03"
" 5";"  7";" 71.43";" 9.26";"produção";"2.339106e-03"
" 5";"  7";" 71.43";" 9.26";"manifestação";"2.339106e-03"
" 4";"  5";" 80.00";" 9.15";"premiar";"2.491491e-03"
" 4";"  5";" 80.00";" 9.15";"histórico";"2.491491e-03"
" 4";"  5";" 80.00";" 9.15";"colher";"2.491491e-03"
" 4";"  5";" 80.00";" 9.15";"antecipar";"2.491491e-03"
" 4";"  5";" 80.00";" 9.15";"propósito";"2.491491e-03"
" 4";"  5";" 80.00";" 9.15";"curso";"2.491491e-03"
"12";" 25";" 48.00";" 9.00";"atuação";"2.694684e-03"
"15";" 34";" 44.12";" 8.84";"próprio";"2.949322e-03"
" 9";" 17";" 52.94";" 8.69";"sigilo";"3.193648e-03"
"38";"113";" 33.63";" 8.36";"juiz";"3.842507e-03"
"12";" 26";" 46.15";" 8.04";"conversa";"4.585719e-03"
" 8";" 15";" 53.33";" 7.85";"verificar";"5.081479e-03"
"19";" 48";" 39.58";" 7.83";"prova";"5.128025e-03"
" 6";" 10";" 60.00";" 7.74";"colaboração";"5.392569e-03"
"13";" 30";" 43.33";" 7.18";"stf";"7.366209e-03"
" 5";"  8";" 62.50";" 7.04";"realização";"7.960541e-03"
" 5";"  8";" 62.50";" 7.04";"vir";"7.960541e-03"
" 7";" 13";" 53.85";" 7.02";"investigado";"8.080471e-03"
"14";" 34";" 41.18";" 6.53";"investigação";"1.059379e-02"
" 4";"  6";" 66.67";" 6.44";"voto";"1.115484e-02"
" 4";"  6";" 66.67";" 6.44";"jurisdicional";"1.115484e-02"
" 4";"  6";" 66.67";" 6.44";"cautelar";"1.115484e-02"
" 4";"  6";" 66.67";" 6.44";"fundamentar";"1.115484e-02"
"11";" 25";" 44.00";" 6.34";"medida";"1.182032e-02"
" 6";" 11";" 54.55";" 6.19";"probatório";"1.283852e-02"
" 3";"  4";" 75.00";" 6.08";"habeas_corpus";"1.368948e-02"
" 3";"  4";" 75.00";" 6.08";"relator";"1.368948e-02"
" 3";"  4";" 75.00";" 6.08";"levantamento";"1.368948e-02"
" 3";"  4";" 75.00";" 6.08";"apresentação";"1.368948e-02"
" 3";"  4";" 75.00";" 6.08";"liminar";"1.368948e-02"
" 3";"  4";" 75.00";" 6.08";"pré_processual";"1.368948e-02"
" 3";"  4";" 75.00";" 6.08";"manutenção";"1.368948e-02"
" 3";"  4";" 75.00";" 6.08";"manipulação";"1.368948e-02"
" 3";"  4";" 75.00";" 6.08";"lugar";"1.368948e-02"
" 3";"  4";" 75.00";" 6.08";"investigador";"1.368948e-02"
" 3";"  4";" 75.00";" 6.08";"inquérito";"1.368948e-02"
" 3";"  4";" 75.00";" 6.08";"conexão";"1.368948e-02"
" 8";" 17";" 47.06";" 5.60";"parecer";"1.797408e-02"
" 8";" 17";" 47.06";" 5.60";"justificar";"1.797408e-02"
" 5";"  9";" 55.56";" 5.38";"conteúdo";"2.036096e-02"
" 5";"  9";" 55.56";" 5.38";"uso";"2.036096e-02"
" 5";"  9";" 55.56";" 5.38";"diverso";"2.036096e-02"
" 5";"  9";" 55.56";" 5.38";"época";"2.036096e-02"
" 5";"  9";" 55.56";" 5.38";"sugerir";"2.036096e-02"
"12";" 30";" 40.00";" 5.00";"coercitivo";"2.527981e-02"
" 6";" 12";" 50.00";" 4.95";"país";"2.613595e-02"
" 6";" 12";" 50.00";" 4.95";"posição";"2.613595e-02"
" 8";" 18";" 44.44";" 4.71";"ministro";"3.000028e-02"
" 4";"  7";" 57.14";" 4.59";"manifestar";"3.213368e-02"
" 4";"  7";" 57.14";" 4.59";"mencionar";"3.213368e-02"
" 4";"  7";" 57.14";" 4.59";"preso";"3.213368e-02"
" 4";"  7";" 57.14";" 4.59";"familiar";"3.213368e-02"
"10";" 25";" 40.00";" 4.14";"acusação";"4.191632e-02"
" 5";" 10";" 50.00";" 4.11";"ressaltar";"4.262635e-02"
" 5";" 10";" 50.00";" 4.11";"parcialidade";"4.262635e-02"
" 5";" 10";" 50.00";" 4.11";"judiciário";"4.262635e-02"
" 6";" 13";" 46.15";" 3.94";"ponto";"4.716639e-02"
" 7";" 16";" 43.75";" 3.91";"verdadeiro";"4.812726e-02"
" 3";"  5";" 60.00";" 3.84";"negar";"4.996415e-02"
" 3";"  5";" 60.00";" 3.84";"produzir";"4.996415e-02"
" 3";"  5";" 60.00";" 3.84";"nulidade";"4.996415e-02"
" 3";"  5";" 60.00";" 3.84";"indicativo";"4.996415e-02"
" 3";"  5";" 60.00";" 3.84";"triplex";"4.996415e-02"
" 3";"  5";" 60.00";" 3.84";"trf";"4.996415e-02"
" 3";"  5";" 60.00";" 3.84";"testemunha";"4.996415e-02"
" 3";"  5";" 60.00";" 3.84";"fevereiro";"4.996415e-02"
" 3";"  5";" 60.00";" 3.84";"divulgar";"4.996415e-02"
" 3";"  5";" 60.00";" 3.84";"defensivo";"4.996415e-02"
" 3";"  5";" 60.00";" 3.84";"apreender";"4.996415e-02"
"14";" 39";" 35.90";" 3.78";"judicial";"5.202068e-02"
" 4";"  8";" 50.00";" 3.28";"último";"7.020110e-02"
" 4";"  8";" 50.00";" 3.28";"condenatório";"7.020110e-02"
" 4";"  8";" 50.00";" 3.28";"reclamante";"7.020110e-02"
" 4";"  8";" 50.00";" 3.28";"real";"7.020110e-02"
" 4";"  8";" 50.00";" 3.28";"legislação";"7.020110e-02"
"11";" 30";" 36.67";" 3.22";"processual";"7.275231e-02"
" 2";"  3";" 66.67";" 3.21";"sp";"7.337185e-02"
" 2";"  3";" 66.67";" 3.21";"impetrar";"7.337185e-02"
" 2";"  3";" 66.67";" 3.21";"preliminar";"7.337185e-02"
" 2";"  3";" 66.67";" 3.21";"incompetência";"7.337185e-02"
" 2";"  3";" 66.67";" 3.21";"valoração";"7.337185e-02"
" 2";"  3";" 66.67";" 3.21";"técnica";"7.337185e-02"
" 2";"  3";" 66.67";" 3.21";"relatar";"7.337185e-02"
" 2";"  3";" 66.67";" 3.21";"lavra";"7.337185e-02"
" 2";"  3";" 66.67";" 3.21";"desembargador";"7.337185e-02"
" 2";"  3";" 66.67";" 3.21";"decretação";"7.337185e-02"
" 2";"  3";" 66.67";" 3.21";"culpabilidade";"7.337185e-02"
" 2";"  3";" 66.67";" 3.21";"ameaça";"7.337185e-02"
" 2";"  3";" 66.67";" 3.21";"significado";"7.337185e-02"
" 2";"  3";" 66.67";" 3.21";"santo";"7.337185e-02"
" 2";"  3";" 66.67";" 3.21";"rodrigues";"7.337185e-02"
" 2";"  3";" 66.67";" 3.21";"requerer";"7.337185e-02"
" 2";"  3";" 66.67";" 3.21";"relativo";"7.337185e-02"
" 2";"  3";" 66.67";" 3.21";"problema";"7.337185e-02"
" 2";"  3";" 66.67";" 3.21";"intinar";"7.337185e-02"
" 2";"  3";" 66.67";" 3.21";"instalar";"7.337185e-02"
" 2";"  3";" 66.67";" 3.21";"iniciativa";"7.337185e-02"
" 2";"  3";" 66.67";" 3.21";"facilitar";"7.337185e-02"
" 2";"  3";" 66.67";" 3.21";"diligência";"7.337185e-02"
" 2";"  3";" 66.67";" 3.21";"desenvolver";"7.337185e-02"
" 2";"  3";" 66.67";" 3.21";"denotar";"7.337185e-02"
" 2";"  3";" 66.67";" 3.21";"decretar";"7.337185e-02"
" 2";"  3";" 66.67";" 3.21";"concessão";"7.337185e-02"
" 2";"  3";" 66.67";" 3.21";"avaliação";"7.337185e-02"
" 2";"  3";" 66.67";" 3.21";"atribuir";"7.337185e-02"
" 2";"  3";" 66.67";" 3.21";"aplicativo";"7.337185e-02"
" 2";"  3";" 66.67";" 3.21";"aguardar";"7.337185e-02"
" 7";" 17";" 41.18";" 3.18";"edoc";"7.444862e-02"
" 5";" 11";" 45.45";" 3.12";"praticar";"7.713110e-02"
" 5";" 11";" 45.45";" 3.12";"condenação";"7.713110e-02"
" 5";" 11";" 45.45";" 3.12";"março";"7.713110e-02"
"20";" 63";" 31.75";" 2.88";"fato";"8.969356e-02"
" 9";" 24";" 37.50";" 2.88";"forma";"8.986616e-02"
" 7";" 18";" 38.89";" 2.57";"quebra";"1.087671e-01"
" 6";" 15";" 40.00";" 2.45";"determinar";"1.178477e-01"
" 3";"  6";" 50.00";" 2.45";"trecho";"1.174189e-01"
" 3";"  6";" 50.00";" 2.45";"consistir";"1.174189e-01"
" 3";"  6";" 50.00";" 2.45";"sustentar";"1.174189e-01"
" 3";"  6";" 50.00";" 2.45";"favor";"1.174189e-01"
" 3";"  6";" 50.00";" 2.45";"soltura";"1.174189e-01"
" 3";"  6";" 50.00";" 2.45";"região";"1.174189e-01"
" 3";"  6";" 50.00";" 2.45";"prévio";"1.174189e-01"
" 3";"  6";" 50.00";" 2.45";"odebrecht";"1.174189e-01"
" 3";"  6";" 50.00";" 2.45";"extensão";"1.174189e-01"
" 5";" 12";" 41.67";" 2.35";"realizar";"1.251009e-01"
" 4";"  9";" 44.44";" 2.32";"ilegalidade";"1.274771e-01"
" 4";"  9";" 44.44";" 2.32";"seguinte";"1.274771e-01"
" 4";"  9";" 44.44";" 2.32";"atuar";"1.274771e-01"
" 4";"  9";" 44.44";" 2.32";"receber";"1.274771e-01"
" 4";"  9";" 44.44";" 2.32";"procedimento";"1.274771e-01"
"*****";"*";"*";"*";"*";"*"
" 13";" 19";"68.42";"22.51";"13";"2.092562e-06"
"  9";" 14";"64.29";"13.59";"primeiro";"2.274074e-04"
"123";"461";"26.68";"10.06";"em";"1.517894e-03"
" 21";" 57";"36.84";" 6.55";"ainda";"1.048560e-02"
"  9";" 19";"47.37";" 6.44";"após";"1.115803e-02"
" 10";" 22";"45.45";" 6.35";"segundo";"1.171526e-02"
"  3";"  4";"75.00";" 6.08";"8";"1.368948e-02"
"  3";"  4";"75.00";" 6.08";"2015";"1.368948e-02"
" 12";" 29";"41.38";" 5.65";"qual";"1.741723e-02"
" 20";" 56";"35.71";" 5.41";"sobre";"2.002327e-02"
"121";"472";"25.64";" 5.37";"o";"2.053057e-02"
" 72";"260";"27.69";" 4.88";"por";"2.722831e-02"
"  5";" 10";"50.00";" 4.11";"acercar";"4.262635e-02"
"  3";"  5";"60.00";" 3.84";"7000";"4.996415e-02"
"  3";"  5";"60.00";" 3.84";"vário";"4.996415e-02"
"  3";"  5";"60.00";" 3.84";"totalmente";"4.996415e-02"
"  2";"  3";"66.67";" 3.21";"08";"7.337185e-02"
"  2";"  3";"66.67";" 3.21";"quatro";"7.337185e-02"
"  2";"  3";"66.67";" 3.21";"intensamente";"7.337185e-02"
"  6";" 14";"42.86";" 3.12";"sob";"7.743064e-02"
" 10";" 27";"37.04";" 3.04";"4";"8.099675e-02"
" 14";" 42";"33.33";" 2.61";"todo";"1.064567e-01"
"  7";" 18";"38.89";" 2.57";"diante";"1.087671e-01"
"  3";"  6";"50.00";" 2.45";"excepto";"1.174189e-01"
" 13";" 39";"33.33";" 2.41";"sem";"1.206747e-01"
"153";"645";"23.72";" 2.37";"de";"1.233792e-01"
"  5";" 12";"41.67";" 2.35";"tempo";"1.251009e-01"
"  4";"  9";"44.44";" 2.32";"desde";"1.274771e-01"
"  4";"  9";"44.44";" 2.32";"menos";"1.274771e-01"
"  4";"  9";"44.44";" 2.32";"si";"1.274771e-01"
"132";"542";"24.35";" 2.18";"a";"1.399067e-01"
"*";"*";"*";"*";"*";"*"
"**";"classe";"2";"**";"";""
"****";"85";"678";"12.54";"****";""
"14";"24";" 58.33";"47.59";"político";"5.254439e-12"
"11";"20";" 55.00";"33.89";"interesse";"5.838335e-09"
" 4";" 4";"100.00";"28.07";"vazamento";"1.169152e-07"
" 4";" 4";"100.00";"28.07";"inadequado";"1.169152e-07"
" 4";" 4";"100.00";"28.07";"excipiente";"1.169152e-07"
"17";"47";" 36.17";"25.72";"lula";"3.939505e-07"
" 3";" 3";"100.00";"21.02";"miller";"4.539375e-06"
" 3";" 3";"100.00";"21.02";"doutor";"4.539375e-06"
" 3";" 3";"100.00";"21.02";"candidato";"4.539375e-06"
" 3";" 3";"100.00";"21.02";"campanha";"4.539375e-06"
" 4";" 5";" 80.00";"20.91";"contexto";"4.819888e-06"
" 5";" 8";" 62.50";"18.43";"apontar";"1.762433e-05"
" 5";" 8";" 62.50";"18.43";"petrobras";"1.762433e-05"
"18";"62";" 29.03";"16.93";"magistrado";"3.870866e-05"
" 9";"22";" 40.91";"16.69";"afirmar";"4.395488e-05"
" 4";" 6";" 66.67";"16.18";"desvio";"5.772189e-05"
" 4";" 6";" 66.67";"16.18";"preventivo";"5.772189e-05"
" 4";" 6";" 66.67";"16.18";"finalidade";"5.772189e-05"
" 4";" 6";" 66.67";"16.18";"perceber";"5.772189e-05"
" 6";"12";" 50.00";"15.64";"política";"7.677177e-05"
" 6";"12";" 50.00";"15.64";"bem";"7.677177e-05"
" 6";"12";" 50.00";"15.64";"demonstrar";"7.677177e-05"
" 5";" 9";" 55.56";"15.39";"comportamento";"8.727381e-05"
" 3";" 4";" 75.00";"14.32";"recurso";"1.544340e-04"
" 3";" 4";" 75.00";"14.32";"luís";"1.544340e-04"
" 3";" 4";" 75.00";"14.32";"defensor";"1.544340e-04"
" 3";" 4";" 75.00";"14.32";"atribuição";"1.544340e-04"
"11";"33";" 33.33";"13.68";"ex_presidente";"2.165237e-04"
" 7";"17";" 41.18";"13.04";"claro";"3.043261e-04"
" 9";"25";" 36.00";"13.03";"atuação";"3.061987e-04"
" 5";"10";" 50.00";"12.99";"eleitoral";"3.129695e-04"
" 5";"10";" 50.00";"12.99";"colocar";"3.129695e-04"
